item_id,exam_id,topic,difficulty,max_score
MOCK01-Q001,MOCK01,空間向量,-0.208,5
MOCK01-Q002,MOCK01,數列與級數,0.044,5
MOCK01-Q003,MOCK01,空間向量,0.301,5
MOCK01-Q004,MOCK01,多項式函數,-0.711,5
MOCK01-Q005,MOCK01,三角函數,1.026,5
MOCK01-Q006,MOCK01,空間向量,0.914,5
MOCK01-Q007,MOCK01,空間向量,-0.909,5
MOCK01-Q008,MOCK01,數列與級數,0.503,5
MOCK01-Q009,MOCK01,排列組合,0.122,5
MOCK01-Q010,MOCK01,平面向量,-0.976,5
MOCK01-Q011,MOCK01,指數與對數,-0.093,5
MOCK01-Q012,MOCK01,指數與對數,0.355,5
MOCK01-Q013,MOCK01,三角函數,-0.004,5
MOCK01-Q014,MOCK01,排列組合,0.021,5
MOCK01-Q015,MOCK01,排列組合,-0.203,5
MOCK01-Q016,MOCK01,空間向量,1.153,5
MOCK01-Q017,MOCK01,數列與級數,-0.104,5
MOCK01-Q018,MOCK01,三角函數,-0.279,5
MOCK01-Q019,MOCK01,三角函數,0.874,5
MOCK01-Q020,MOCK01,排列組合,0.654,5
MOCK01-Q021,MOCK01,平面向量,-0.384,5
MOCK01-Q022,MOCK01,排列組合,0.769,5
MOCK01-Q023,MOCK01,排列組合,0.543,5
MOCK01-Q024,MOCK01,空間向量,0.877,5
MOCK01-Q025,MOCK01,空間向量,0.093,5
MOCK01-Q026,MOCK01,機率與統計,-0.402,5
MOCK01-Q027,MOCK01,平面向量,-0.107,5
MOCK01-Q028,MOCK01,機率與統計,0.887,5
MOCK01-Q029,MOCK01,數列與級數,0.172,5
MOCK01-Q030,MOCK01,數列與級數,0.854,5
MOCK01-Q031,MOCK01,平面向量,-1.095,5
MOCK01-Q032,MOCK01,空間向量,0.493,5
MOCK01-Q033,MOCK01,平面向量,-0.273,5
MOCK01-Q034,MOCK01,三角函數,-0.011,5
MOCK01-Q035,MOCK01,多項式函數,-0.897,5
MOCK01-Q036,MOCK01,機率與統計,0.887,5
MOCK01-Q037,MOCK01,空間向量,-0.961,5
MOCK01-Q038,MOCK01,空間向量,-1.163,5
MOCK01-Q039,MOCK01,三角函數,-0.216,5
MOCK01-Q040,MOCK01,三角函數,-1.02,5
MOCK02-Q041,MOCK02,排列組合,-0.387,5
MOCK02-Q042,MOCK02,平面向量,0.36,5
MOCK02-Q043,MOCK02,機率與統計,0.846,5
MOCK02-Q044,MOCK02,平面向量,1.09,5
MOCK02-Q045,MOCK02,空間向量,0.894,5
MOCK02-Q046,MOCK02,多項式函數,0.282,5
MOCK02-Q047,MOCK02,數列與級數,0.315,5
MOCK02-Q048,MOCK02,排列組合,1.194,5
MOCK02-Q049,MOCK02,指數與對數,-0.158,5
MOCK02-Q050,MOCK02,指數與對數,0.625,5
MOCK02-Q051,MOCK02,指數與對數,-0.135,5
MOCK02-Q052,MOCK02,排列組合,0.968,5
MOCK02-Q053,MOCK02,多項式函數,-0.422,5
MOCK02-Q054,MOCK02,多項式函數,-0.496,5
MOCK02-Q055,MOCK02,機率與統計,-0.166,5
MOCK02-Q056,MOCK02,數列與級數,0.075,5
MOCK02-Q057,MOCK02,三角函數,-0.792,5
MOCK02-Q058,MOCK02,指數與對數,0.263,5
MOCK02-Q059,MOCK02,平面向量,0.287,5
MOCK02-Q060,MOCK02,數列與級數,-0.006,5
MOCK02-Q061,MOCK02,三角函數,-0.643,5
MOCK02-Q062,MOCK02,排列組合,-0.097,5
MOCK02-Q063,MOCK02,多項式函數,0.957,5
MOCK02-Q064,MOCK02,空間向量,0.963,5
MOCK02-Q065,MOCK02,三角函數,-1.023,5
MOCK02-Q066,MOCK02,機率與統計,1.17,5
MOCK02-Q067,MOCK02,排列組合,0.333,5
MOCK02-Q068,MOCK02,平面向量,0.457,5
MOCK02-Q069,MOCK02,空間向量,0.829,5
MOCK02-Q070,MOCK02,數列與級數,1.198,5
MOCK02-Q071,MOCK02,空間向量,-0.944,5
MOCK02-Q072,MOCK02,平面向量,0.173,5
MOCK02-Q073,MOCK02,排列組合,1.182,5
MOCK02-Q074,MOCK02,排列組合,-1.147,5
MOCK02-Q075,MOCK02,平面向量,-0.541,5
MOCK02-Q076,MOCK02,多項式函數,0.985,5
MOCK02-Q077,MOCK02,空間向量,0.799,5
MOCK02-Q078,MOCK02,排列組合,0.662,5
MOCK02-Q079,MOCK02,數列與級數,0.257,5
MOCK02-Q080,MOCK02,機率與統計,-0.674,5
MOCK03-Q081,MOCK03,數列與級數,0.29,5
MOCK03-Q082,MOCK03,三角函數,0.308,5
MOCK03-Q083,MOCK03,多項式函數,-0.459,5
MOCK03-Q084,MOCK03,空間向量,-1.12,5
MOCK03-Q085,MOCK03,機率與統計,0.558,5
MOCK03-Q086,MOCK03,指數與對數,0.983,5
MOCK03-Q087,MOCK03,機率與統計,0.594,5
MOCK03-Q088,MOCK03,三角函數,-0.718,5
MOCK03-Q089,MOCK03,機率與統計,0.074,5
MOCK03-Q090,MOCK03,排列組合,0.793,5
MOCK03-Q091,MOCK03,排列組合,0.994,5
MOCK03-Q092,MOCK03,空間向量,1.122,5
MOCK03-Q093,MOCK03,排列組合,0.592,5
MOCK03-Q094,MOCK03,機率與統計,0.73,5
MOCK03-Q095,MOCK03,空間向量,1.111,5
MOCK03-Q096,MOCK03,三角函數,0.61,5
MOCK03-Q097,MOCK03,數列與級數,0.864,5
MOCK03-Q098,MOCK03,平面向量,1.121,5
MOCK03-Q099,MOCK03,機率與統計,-0.983,5
MOCK03-Q100,MOCK03,平面向量,-1.167,5
MOCK03-Q101,MOCK03,指數與對數,-0.109,5
MOCK03-Q102,MOCK03,排列組合,0.203,5
MOCK03-Q103,MOCK03,機率與統計,-0.94,5
MOCK03-Q104,MOCK03,數列與級數,-0.068,5
MOCK03-Q105,MOCK03,機率與統計,0.997,5
MOCK03-Q106,MOCK03,數列與級數,0.354,5
MOCK03-Q107,MOCK03,空間向量,0.983,5
MOCK03-Q108,MOCK03,排列組合,0.358,5
MOCK03-Q109,MOCK03,指數與對數,-0.865,5
MOCK03-Q110,MOCK03,多項式函數,-0.47,5
MOCK03-Q111,MOCK03,空間向量,-0.921,5
MOCK03-Q112,MOCK03,數列與級數,0.929,5
MOCK03-Q113,MOCK03,三角函數,-0.267,5
MOCK03-Q114,MOCK03,機率與統計,0.409,5
MOCK03-Q115,MOCK03,平面向量,0.21,5
MOCK03-Q116,MOCK03,三角函數,0.925,5
MOCK03-Q117,MOCK03,指數與對數,0.801,5
MOCK03-Q118,MOCK03,平面向量,1.054,5
MOCK03-Q119,MOCK03,排列組合,-1.121,5
MOCK03-Q120,MOCK03,機率與統計,-0.679,5
