respondent_id,school_level,exam_frequency,minutes_per_exam_on_diagnosis,parent_progress_method,monthly_wtp_per_branch_ntd,top_priority
R01,高中,每兩週,60-120,口頭,3000-8000,留住學生
R02,國中,每週,60-120,LINE訊息,3000-8000,招生
R03,高中,每月,>120,成績單,>8000,留住學生
R04,國中,每兩週,30-60,LINE訊息,1000-3000,提升成績
R05,混合,每週,60-120,口頭,3000-8000,留住學生
R06,高中,每兩週,>120,成績單,3000-8000,招生
R07,國中,每月,30-60,無,1000-3000,節省老師時間
R08,高中,每週,60-120,LINE訊息,>8000,留住學生
R09,國中,每兩週,60-120,口頭,3000-8000,招生
R10,高中,每兩週,>120,成績單,3000-8000,留住學生
R11,混合,每月,30-60,LINE訊息,不願付費,提升成績
R12,國中,每週,60-120,口頭,3000-8000,留住學生
